-1	qid:1	1:0	2:11.434075	3:13.923245	4:0	5:13.337366	6:7.407669	7:9.361648	8:0	# My Death My Decision logo.png	cs|.my
-1	qid:1159	1:0	2:0	3:0	4:0	5:0	6:26.27488	7:0	8:0	# South-southeast of Red Lake - Flickr - aspidoscelis (1).jpg	vi|Micranthes_geum
-1	qid:1159	1:0	2:0	3:0	4:0	5:0	6:24.574038	7:0	8:0	# Continental Divide Trail - Flickr - aspidoscelis (2).jpg	vi|Micranthes_geum
-1	qid:1159	1:0	2:0	3:0	4:0	5:0	6:25.302336	7:0	8:0	# Continental Divide Trail - Flickr - aspidoscelis (4).jpg	vi|Micranthes_geum
-1	qid:116	1:0	2:0	3:0	4:0	5:0	6:11.737009	7:12.594828	8:0	# Севастянівка 1830 44.jpg	en|Alexkrakovsky
-1	qid:1160	1:0	2:15.876897	3:11.294372	4:0	5:0	6:12.304027	7:0	8:0	# Visual Microphone.jpg	en|microphone
-1	qid:1160	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:11.070313	# Ballroom Thieves 53 (22912090152).jpg	en|microphone
-1	qid:1160	1:0	2:12.810945	3:8.072077	4:0	5:16.467926	6:18.245684	7:7.395731	8:0	# "Bad Gal" Microphone, Rihanna cropped.jpg	en|microphone
1	qid:1160	1:0	2:14.139943	3:9.991353	4:0	5:16.898083	6:15.773787	7:0	8:0	# Electret microphone MKE3.JPG	en|microphone
1	qid:1160	1:0	2:0	3:7.9543753	4:0	5:0	6:16.994629	7:9.887199	8:0	# Neumann Solution-D Family - KM D, D-01, TLM103D @ AES 124th.jpg	en|microphone
0	qid:1160	1:0	2:14.561577	3:9.759893	4:0	5:17.380445	6:0	7:0	8:0	# Microphone Close.jpg	en|microphone
1	qid:1160	1:0	2:15.707272	3:0	4:0	5:18.649755	6:10.818505	7:0	8:0	# Microphone anaglyph.jpg	en|microphone
1	qid:1160	1:0	2:13.697975	3:9.147873	4:0	5:17.219416	6:15.411272	7:0	8:0	# Nimbus-Halliday-Microphone-A.jpg	en|microphone
1	qid:1160	1:0	2:14.972876	3:0	4:0	5:17.896141	6:11.308031	7:0	8:0	# Microphone fitted.jpg	en|microphone
1	qid:1160	1:0	2:11.125099	3:6.4896383	4:0	5:15.547625	6:10.120839	7:0	8:0	# AKG C214 condenser microphone with H85 shock mount.jpg	en|microphone
1	qid:1161	1:0	2:10.843301	3:8.584569	4:10.884383	5:15.916798	6:13.271243	7:0	8:0	# Compass microscope-MHS 1643-P7220044-black.jpg	en|microscope
1	qid:1161	1:0	2:13.967601	3:11.114221	4:0	5:0	6:13.250627	7:0	8:0	# Antique microscope.jpg	en|microscope
0	qid:1161	1:0	2:0	3:0	4:13.105435	5:0	6:5.8683176	7:0	8:0	# Crucian carp-eye prPNr°24.jpg	en|microscope
-1	qid:1161	1:9.175849	2:0	3:0	4:0	5:0	6:11.356307	7:9.54313	8:0	# Elytra (x400).jpg	en|microscope
-1	qid:1161	1:0	2:0	3:0	4:0	5:0	6:16.3188	7:0	8:0	# Miridae SEM 2.jpg	en|microscope
-1	qid:1161	1:0	2:0	3:0	4:0	5:0	6:12.009247	7:0	8:0	# Diastylis rathkei.jpg	en|microscope
-1	qid:1161	1:0	2:0	3:0	4:0	5:0	6:13.129593	7:10.114602	8:0	# "Dragon Breath" by Ray L. Burggraf.jpg	en|microscope
-1	qid:1161	1:0	2:12.571046	3:11.85365	4:0	5:15.308829	6:7.4736357	7:9.885244	8:0	# Microscope electronique transmission.png	en|microscope
0	qid:1161	1:0	2:0	3:0	4:0	5:0	6:13.641893	7:0	8:0	# Leaf epidermis.jpg	en|microscope
1	qid:1161	1:10.037593	2:11.5922575	3:0	4:0	5:0	6:13.820021	7:10.477048	8:0	# Dust mite under the microscope.jpg	en|microscope
1	qid:1162	1:0	2:12.085364	3:12.506029	4:12.851008	5:14.948129	6:0	7:0	8:0	# Microsoft Gold Certified Partner logo.png	en|microsoft
1	qid:1162	1:9.008977	2:0	3:11.588599	4:0	5:0	6:10.947076	7:10.322967	8:13.548615	# Building92microsoft.jpg	en|microsoft
1	qid:1162	1:0	2:13.143697	3:15.604077	4:0	5:15.806868	6:16.434635	7:0	8:0	# Microsoft Band Logo 2.png	en|microsoft
1	qid:1162	1:0	2:13.592754	3:11.713246	4:0	5:15.08134	6:14.91658	7:6.3198056	8:0	# Microsoft 365 logo.png	en|microsoft
0	qid:1162	1:0	2:11.472698	3:0	4:0	5:13.51173	6:7.0888085	7:0	8:0	# Microsoft-Xbox-One-Console-Set-wKinect.jpg	en|microsoft
1	qid:1162	1:0	2:0	3:0	4:0	5:0	6:13.884936	7:0	8:13.884634	# Xbox-console.jpg	en|microsoft
0	qid:1162	1:0	2:10.581379	3:11.235235	4:13.860898	5:13.769965	6:10.893058	7:0	8:0	# Microsoft Developer Tour ad truck in Russia 20150318.jpg	en|microsoft
0	qid:1162	1:0	2:0	3:13.280792	4:0	5:0	6:16.408052	7:0	8:0	# UserExpVirtualization.png	en|microsoft
-1	qid:1162	1:0	2:0	3:14.584356	4:0	5:0	6:0	7:0	8:0	# M-hance brand identity.jpg	en|microsoft
-1	qid:1162	1:0	2:14.053955	3:0	4:0	5:0	6:11.033288	7:0	8:0	# Tài khoản microsoft.png	en|microsoft
1	qid:1163	1:0	2:22.177877	3:25.872187	4:0	5:16.797663	6:22.397839	7:0	8:0	# Microsoft logo.jpg	en|microsoft logo svg
-1	qid:1163	1:4.9778423	2:6.94958	3:8.620587	4:0	5:0	6:24.424152	7:9.652981	8:0	# Xbox Velocity Architecture logo.jpg	en|microsoft logo svg
-1	qid:1163	1:0	2:5.587717	3:6.0829306	4:0	5:8.486532	6:23.411564	7:0	8:0	# WikiProject Numismatics Korean coins taskforce concept logo (2017).png	en|microsoft logo svg
1	qid:1163	1:0	2:17.437603	3:18.969345	4:17.054497	5:30.054428	6:31.170902	7:0	8:0	# Microsoft logo (1987) + slogan (2011) horizontal.png	en|microsoft logo svg
-1	qid:1163	1:0	2:7.77491	3:8.229969	4:0	5:0	6:14.961049	7:15.721924	8:0	# NT4 logo.png	en|microsoft logo svg
-1	qid:1163	1:0	2:18.82564	3:8.36257	4:0	5:15.751445	6:22.934242	7:5.7746887	8:0	# Microsoft Skype for Business logo.png	en|microsoft logo svg
-1	qid:1164	1:0	2:0	3:0	4:0	5:0	6:5.948676	7:0	8:0	# All Saints church Hawstead Suffolk (3107832553).jpg	en|microsoft power apps
-1	qid:1164	1:0	2:0	3:0	4:0	5:0	6:5.948676	7:0	8:0	# All Saints church Thornage Norfolk (3022036413).jpg	en|microsoft power apps
-1	qid:1164	1:0	2:0	3:0	4:0	5:0	6:5.948676	7:0	8:0	# St Andrew's church Thursford Norfolk (2963529117).jpg	en|microsoft power apps
-1	qid:1164	1:0	2:0	3:0	4:0	5:0	6:5.8790436	7:0	8:0	# St Mary's church North Elmham Norfolk (3265925446).jpg	en|microsoft power apps
-1	qid:1165	1:0	2:0	3:0	4:0	5:0	6:30.24382	7:7.2090445	8:0	# Booth Hall - MMU Cheshire - geograph.org.uk - 272524.jpg	cs|Mike_Grose
-1	qid:1165	1:0	2:0	3:0	4:0	5:0	6:30.506475	7:7.2090445	8:0	# The Heald - geograph.org.uk - 279458.jpg	cs|Mike_Grose
-1	qid:1165	1:0	2:0	3:0	4:0	5:0	6:30.381018	7:7.635947	8:0	# Harley Hall - MMU Cheshire - geograph.org.uk - 272519.jpg	cs|Mike_Grose
1	qid:1166	1:0	2:30.185877	3:12.753543	4:0	5:39.436523	6:29.976057	7:0	8:0	# Mikolin dwór 02.JPG	pl|Mikolin dwór
1	qid:1167	1:0	2:20.39922	3:18.755604	4:0	5:29.26466	6:17.439283	7:18.893738	8:0	# 4 Milky Way (ELitU)-fr.png	en|milky way
1	qid:1167	1:0	2:19.50469	3:21.661184	4:0	5:15.456574	6:15.354253	7:0	8:13.299202	# NOEMA antennas under the Milky Way.jpg	en|milky way
1	qid:1167	1:0	2:23.010918	3:18.208736	4:19.065788	5:30.23846	6:14.610798	7:0	8:12.27354	# ESO - Milky Way.jpg	en|milky way
1	qid:1167	1:0	2:20.55311	3:19.942556	4:0	5:28.872936	6:16.70246	7:0	8:0	# Hurricane Ridge milky way (48667170733).jpg	en|milky way
0	qid:1167	1:0	2:0	3:26.961292	4:0	5:0	6:0.5923908	7:0	8:0	# 20lys.png	en|milky way
0	qid:1167	1:0	2:22.899359	3:20.215042	4:0	5:29.889519	6:14.528327	7:0	8:0	# Milky Way (6005684136).jpg	en|milky way
1	qid:1167	1:0	2:0	3:0	4:0	5:0	6:0.63161665	7:0	8:13.536291	# Lighthouse under stars.jpg	en|milky way
1	qid:1167	1:14.978671	2:21.691616	3:15.860704	4:0	5:30.083576	6:12.126908	7:16.4791	8:0	# Milky way Lough Tay.jpg	en|milky way
1	qid:1167	1:0	2:9.880564	3:25.676285	4:0	5:13.806419	6:12.438726	7:0	8:0	# Hubble Spots White Dwarfs in Milky Way's Central Hub.jpg	en|milky way
-1	qid:1168	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:13.825998	# Felipe Neto-2019.png	en|minecraft
-1	qid:1168	1:0	2:15.716533	3:0	4:0	5:19.497406	6:22.818241	7:0	8:0	# Workshop Kids Minecraft Masterclass (8450243425).jpg	en|minecraft
0	qid:1168	1:0	2:18.784052	3:16.410013	4:0	5:21.89408	6:0	7:0	8:0	# Minecraft Drawing.jpg	en|minecraft
-1	qid:1168	1:0	2:0	3:0	4:14.074882	5:0	6:0	7:0	8:0	# WhatsApp icon.png	en|minecraft
0	qid:1168	1:0	2:17.003391	3:17.956478	4:0	5:19.90161	6:21.077265	7:0	8:0	# Minecraft Cathedrale (7602255364).jpg	en|minecraft
0	qid:1168	1:0	2:15.146582	3:15.615591	4:0	5:18.805977	6:23.086649	7:0	8:0	# Playing Minecraft - PAXAUS 2015 (22623983722).jpg	en|minecraft
0	qid:1168	1:0	2:18.03039	3:16.89482	4:0	5:21.100182	6:15.149962	7:0	8:0	# Minecraft sheep (11453641143).jpg	en|minecraft
1	qid:1168	1:0	2:17.59489	3:19.993536	4:0	5:20.59469	6:20.626814	7:0	8:0	# Minecraft Cathedrale (7602265028).jpg	en|minecraft
-1	qid:1168	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:0	# Fort Jefferson National Monument.jpg	en|minecraft
1	qid:1169	1:0	2:30.3056	3:37.641216	4:0	5:0	6:38.32567	7:0	8:14.329234	# Mipus tonganus (MNHN-IM-2000-20244).jpeg	vi|Mipus_tonganus
-1	qid:117	1:0	2:0	3:9.533605	4:0	5:0	6:18.691217	7:8.919284	8:0	# House of Ma'n.png	en|Ali_al-Khalidi
1	qid:1170	1:0	2:22.930855	3:0	4:0	5:30.175549	6:25.235527	7:0	8:0	# Fred Barton as Miss Gulch in "Miss Gulch Returns!".jpg	en|miss gulch
-1	qid:1170	1:0	2:0	3:7.7492375	4:0	5:0	6:7.056637	7:12.294159	8:0	# Байрачные леса 2.jpg	en|miss gulch
-1	qid:1171	1:0	2:0	3:0	4:0	5:0	6:18.482803	7:0	8:0	# Patterson's General Store Ledger - DPLA - 0079e562a497df98da2b2bf6a5740d22 (page 54).jpg	en|Miss James
-1	qid:1171	1:0	2:0	3:0	4:0	5:0	6:18.482803	7:0	8:0	# Patterson's General Store Ledger - DPLA - 0079e562a497df98da2b2bf6a5740d22 (page 649).jpg	en|Miss James
-1	qid:1171	1:0	2:5.011215	3:10.203797	4:0	5:7.3342323	6:12.289324	7:0	8:0	# James Meredith's Letter to the Registrar, University of Mississippi No Date - NARA - 193229.tif	en|Miss James
1	qid:1171	1:15.337835	2:15.3949585	3:12.263843	4:0	5:22.151058	6:19.002872	7:18.065695	8:0	# Miss James by Camille Silvy (cropped).jpg	en|Miss James
0	qid:1171	1:0	2:16.193542	3:0	4:0	5:23.039679	6:17.885647	7:0	8:0	# Hindhead Tunnel Miss James Bridge.JPG	en|Miss James
-1	qid:1171	1:0	2:0	3:0	4:0	5:0	6:20.142654	7:0	8:0	# Herstmonceux Place - geograph.org.uk - 1586367.jpg	en|Miss James
-1	qid:1171	1:17.285786	2:16.23021	3:14.970106	4:0	5:23.100723	6:15.445007	7:14.315336	8:0	# Miss James' Walk NT sign.jpg	en|Miss James
-1	qid:1172	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:10.809373	# Trompette - corps.JPG	en|MizIk
-1	qid:1173	1:0	2:18.79815	3:0	4:0	5:21.907328	6:19.882769	7:0	8:0	# Mladina GG.jpg	cs|Mladina
-1	qid:1173	1:0	2:17.590555	3:0	4:0	5:20.588722	6:15.877899	7:0	8:0	# Dobravska mladina 01.jpg	cs|Mladina
-1	qid:1173	1:0	2:15.390266	3:0	4:0	5:19.107166	6:18.753656	7:0	8:0	# Vesela mladina v Mariboru 1961.jpg	cs|Mladina
1	qid:1174	1:0	2:0	3:34.08062	4:0	5:0	6:38.89128	7:0	8:0	# A35-20150409-121 (18584475975).jpg	vi|Mnesiloba_dentifascia
1	qid:1174	1:0	2:0	3:33.536514	4:0	5:0	6:37.25476	7:0	8:0	# A46-20150128-064 (16544733139).jpg	vi|Mnesiloba_dentifascia
1	qid:1174	1:0	2:0	3:33.57055	4:0	5:0	6:38.224205	7:0	8:0	# A66-20171124-013 (38744452245).jpg	vi|Mnesiloba_dentifascia
1	qid:1174	1:0	2:0	3:32.789276	4:0	5:0	6:37.397087	7:0	8:0	# A41-20140325-087 (14100709427).jpg	vi|Mnesiloba_dentifascia
1	qid:1174	1:0	2:0	3:34.075615	4:0	5:0	6:38.89792	7:0	8:0	# V33-20171117-111 (24718391367).jpg	vi|Mnesiloba_dentifascia
1	qid:1174	1:0	2:0	3:33.5393	4:0	5:0	6:38.362095	7:0	8:0	# V37-20180521-138 (42009362975).jpg	vi|Mnesiloba_dentifascia
1	qid:1174	1:0	2:0	3:32.94909	4:0	5:0	6:37.59346	7:0	8:0	# A37-20180318-017 (40960859895).jpg	vi|Mnesiloba_dentifascia
-1	qid:1175	1:0	2:0	3:0	4:0	5:0	6:7.447756	7:0	8:0	# Auf der Bali (6983667116).jpg	cs|Mo-dettes
-1	qid:1175	1:0	2:0	3:0	4:0	5:0	6:7.244202	7:0	8:0	# Erholungsheim der Kriegsmarine in Drontheim. SS-Stubaf. Keller und Flesch (6983604862).jpg	cs|Mo-dettes
-1	qid:1175	1:0	2:0	3:0	4:0	5:0	6:1.9063363	7:0	8:0	# 4-Stroke-Engine.gif	cs|Mo-dettes
-1	qid:1176	1:21.955168	2:21.396095	3:0	4:0	5:28.706184	6:8.854166	7:15.723581	8:0	# Mohammad Ali Dadkhah 1.jpg	en|mohammad ali
-1	qid:1176	1:0	2:0	3:0	4:0	5:0	6:27.725973	7:0	8:0	# Kayaking in front of Hanna Lake Bridge Wall.jpg	en|mohammad ali
-1	qid:1176	1:21.288704	2:22.522156	3:0	4:0	5:29.784863	6:21.06757	7:16.33925	8:0	# Mohammad Ali Fayazi.jpg	en|mohammad ali
-1	qid:1176	1:0	2:22.506119	3:23.490986	4:0	5:29.794983	6:11.287097	7:0	8:0	# Mohammad Ali Nekunam.jpg	en|mohammad ali
-1	qid:1176	1:0	2:18.977207	3:22.55589	4:0	5:27.261105	6:23.103941	7:0	8:0	# Portrait of Mohammad-Ali Rajai (black).jpg	en|mohammad ali
-1	qid:1176	1:0	2:22.430325	3:19.562359	4:0	5:29.679646	6:21.273468	7:0	8:0	# Mohammad Ali Movahhed.jpg	en|mohammad ali
-1	qid:1176	1:0	2:8.921014	3:18.938332	4:9.277275	5:13.02475	6:10.573713	7:0	8:0	# Ayatollah Seyyed Ali Khamenei in prayer.jpg	en|mohammad ali
-1	qid:1176	1:0	2:19.978298	3:21.657116	4:9.277275	5:27.558811	6:10.3845215	7:0	8:0	# Mohammad Ali Mousavi Jazayeri - 1979.jpg	en|mohammad ali
-1	qid:1176	1:21.874662	2:19.104046	3:16.716862	4:0	5:27.421585	6:20.811668	7:24.85109	8:0	# Mohammad Ali Jafari by tasnimnews 02 ).jpg	en|mohammad ali
-1	qid:1176	1:20.627804	2:0	3:20.971	4:0	5:0	6:18.646141	7:15.421934	8:0	# FoorooghiSignature.jpg	en|mohammad ali
-1	qid:1177	1:0	2:0	3:0	4:0	5:0	6:22.440855	7:0	8:0	# CRA - Comissão de Agricultura e Reforma Agrária (22358696740).jpg	en|Mohammad_Panah
-1	qid:1177	1:0	2:0	3:0	4:0	5:0	6:13.915321	7:0	8:0	# Sindhri Mango.JPG	en|Mohammad_Panah
0	qid:1178	1:15.711607	2:0	3:0	4:0	5:0	6:21.454887	7:16.932526	8:0	# NotArt Icon.png	en|mona lisa
-1	qid:1178	1:0	2:23.749252	3:19.712215	4:0	5:31.832085	6:29.659668	7:0	8:0	# Rosa 'Mona Lisa' 03.JPG	en|mona lisa
0	qid:1178	1:18.737164	2:19.122551	3:25.560112	4:0	5:29.6512	6:32.328987	7:21.518238	8:0	# Monograph on Leonardo da Vinci's Mona Lisa - Isleworth.png	en|mona lisa
-1	qid:1178	1:0	2:17.499409	3:25.017345	4:0	5:27.943382	6:26.810093	7:0	8:0	# Visitors to the Louvre Viewing the Mona Lisa IMG 1391.JPG	en|mona lisa
1	qid:1178	1:16.521027	2:18.383213	3:8.220783	4:18.724411	5:32.57841	6:30.98798	7:26.495083	8:13.284836	# Mona Lisa, by Leonardo da Vinci, from C2RMF retouched.jpg	en|mona lisa
-1	qid:1178	1:0	2:11.897196	3:0	4:11.793524	5:12.871777	6:8.544751	7:0	8:0	# ScannedImage-2MONA LISA.jpg	en|mona lisa
-1	qid:1178	1:0	2:0	3:27.726425	4:0	5:0	6:0	7:0	8:0	# Dueren 2008 Guerzenich 4.jpg	en|mona lisa
1	qid:1178	1:0	2:25.274899	3:17.914095	4:0	5:33.431507	6:26.14814	7:23.675892	8:0	# Mona Lisa headcrop.jpg	en|mona lisa
1	qid:1178	1:0	2:23.883095	3:20.152206	4:0	5:32.745842	6:27.829844	7:0	8:0	# Mona Lisa - the Louvre.jpg	en|mona lisa
1	qid:1178	1:0	2:0	3:25.090458	4:0	5:0	6:0	7:0	8:0	# Kioto.jpg	en|mona lisa
1	qid:1179	1:0	2:0	3:11.03284	4:0	5:0	6:14.630488	7:0	8:0	# Piet Mondriaan - Arbre.jpg	en|mondrian
1	qid:1179	1:0	2:10.056592	3:0	4:0	5:13.446447	6:18.194809	7:0	8:0	# Piet mondrian, composizione con bianco e rosso, 1936.jpg	en|mondrian
0	qid:1179	1:0	2:13.988721	3:10.479812	4:0	5:15.873068	6:8.39221	7:0	8:0	# Mondrian - A170.jpg	en|mondrian
-1	qid:118	1:9.866538	2:0	3:0	4:0	5:0	6:0	7:9.745126	8:0	# Berlin - Hamburger Bahnhof Museum für Gegenwart (19).jpg	en|alien
0	qid:118	1:0	2:10.551567	3:0	4:15.777613	5:12.740572	6:11.843682	7:0	8:0	# An Alien drawing by Wikki2.jpg	en|alien
-1	qid:118	1:0	2:0	3:0	4:0	5:0	6:8.381773	7:13.219724	8:0	# SecchiaRapita.JPG	en|alien
-1	qid:118	1:0	2:14.038639	3:0	4:0	5:15.309093	6:0	7:0	8:0	# Alien,.jpg	en|alien
0	qid:118	1:9.455197	2:0	3:0	4:0	5:0	6:0	7:10.610425	8:0	# Amazing stories 194103.jpg	en|alien
1	qid:118	1:0	2:14.077371	3:0	4:0	5:0	6:17.086618	7:0	8:0	# Alien.png	en|alien
-1	qid:118	1:0	2:12.1798	3:0	4:0	5:14.6913395	6:0	7:0	8:0	# Alien generator Tiera4172aa.JPG	en|alien
1	qid:1180	1:0	2:7.745041	3:11.513516	4:0	5:11.0462475	6:11.125371	7:0	8:0	# Claude Monet Woman with a Parasol, facing left, 1886 Sketch.jpg	en|monet
-1	qid:1180	1:0	2:12.025378	3:8.93918	4:0	5:0	6:12.506099	7:0	8:0	# MV Monet.JPG	en|monet
1	qid:1180	1:0	2:0	3:11.196895	4:0	5:0	6:15.527057	7:0	8:0	# Les Tilleuls à Poissy.png	en|monet
1	qid:1180	1:0	2:9.855508	3:9.695733	4:0	5:12.599824	6:12.759985	7:0	8:0	# Claude Monet, Le Grand Canal.jpg	en|monet
-1	qid:1180	1:0	2:10.265036	3:9.411932	4:0	5:12.419389	6:12.140579	7:0	8:13.538632	# Monet (ship, 1999) 007.jpg	en|monet
1	qid:1180	1:0	2:11.461187	3:12.6744175	4:0	5:11.4423275	6:15.660436	7:19.614143	8:0	# Claude Monet - Le Pont japonais W1933 - Musée Marmottan-Monet.jpg	en|monet
1	qid:1180	1:0	2:9.396195	3:0	4:11.122095	5:13.855557	6:12.473441	7:0	8:0	# Claude Monet - Jardin à Sainte-Adresse.jpg	en|monet
1	qid:1180	1:0	2:8.485245	3:12.246131	4:11.369345	5:13.60193	6:14.176802	7:0	8:0	# Claude Monet - On the Boat - Google Art Project.jpg	en|monet
1	qid:1180	1:0	2:12.18241	3:8.663679	4:0	5:14.767371	6:14.278502	7:0	8:0	# Monet - camille-monet-on-a-garden-bench.jpg	en|monet
-1	qid:1181	1:6.9494123	2:8.254862	3:0	4:0	5:11.790344	6:12.386681	7:13.681428	8:0	# 225- YES in money we trust III 2020 de Anaya.jpg	en|money
-1	qid:1181	1:11.055596	2:11.111044	3:0	4:10.044059	5:15.149417	6:11.857981	7:12.180417	8:0	# Exhibit No. 3.2 - Before Money - History of Money - RBI Museum Kolkata.jpg	en|money
1	qid:1181	1:11.055596	2:10.802221	3:0	4:9.341703	5:14.577434	6:11.857981	7:12.180417	8:0	# Exhibit No. 3.12 - Money Unlimited? - History of Money - RBI Museum Kolkata 31.jpg	en|money
1	qid:1181	1:0	2:12.599893	3:0	4:0	5:14.774988	6:8.320093	7:0	8:0	# Money destruction.jpg	en|money
-1	qid:1181	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:0	# Web Summit 2018 - MoneyConf - Day 2, November 7 SD5 7373 (45715020672).jpg	en|money
1	qid:1181	1:0	2:12.41083	3:0	4:0	5:15.342633	6:10.490559	7:0	8:0	# Money from around the world, paper money bills.jpg	en|money
-1	qid:1181	1:0	2:11.648718	3:0	4:0	5:0	6:11.88024	7:0	8:0	# Mable Clare Money.jpg	en|money
1	qid:1181	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:11.433911	# Confederate 100 Dollars.jpg	en|money
-1	qid:1181	1:0	2:0	3:0	4:0	5:0	6:10.072658	7:0	8:0	# McKinley Prosperity.jpg	en|money
1	qid:1181	1:0	2:0	3:0	4:0	5:0	6:6.4462695	7:0	8:0	# Mainz 50 Pfg 1921.jpg	en|money
-1	qid:1182	1:0	2:0	3:8.86412	4:0	5:0	6:0	7:0	8:0	# SeaMonkey 2.1b1 es-ES cookie en datumadministrilo.png	en|monkey
-1	qid:1182	1:0	2:8.60047	3:0	4:0	5:12.1598215	6:11.7396555	7:0	8:0	# Monkey Puzzle Rathinda amor by kadavoor edit by böhringer.jpg	en|monkey
1	qid:1182	1:0	2:9.884242	3:0	4:0	5:13.025148	6:12.658708	7:0	8:11.150721	# Green monkey (Chlorocebus sabaeus) juvenile head.jpg	en|monkey
1	qid:1182	1:0	2:10.482852	3:0	4:0	5:13.071265	6:13.558125	7:0	8:0	# Red leaf monkey (Presbytis rubicunda).jpg	en|monkey
-1	qid:1182	1:0	2:9.380968	3:13.019288	4:0	5:12.657916	6:11.538661	7:6.7019634	8:0	# Notice to escape from falling monkey poop.jpg	en|monkey
-1	qid:1182	1:0	2:11.141285	3:0	4:11.332715	5:15.7752075	6:12.584352	7:0	8:0	# Arthur 'Monkey' Gould portrait.jpg	en|monkey
1	qid:1182	1:11.955694	2:13.234061	3:11.779548	4:0	5:15.793772	6:15.439972	7:8.6800585	8:0	# Mona monkey inTafi Atome Monkey Sanctuary.jpg	en|monkey
-1	qid:1182	1:0	2:0	3:0	4:0	5:0	6:10.227831	7:16.578459	8:0	# Alternate access Cashmere caverns.JPG	en|monkey
1	qid:1182	1:0	2:9.388328	3:11.543866	4:12.0202055	5:15.210406	6:14.646684	7:0	8:0	# Barbary macaque at Trentham Monkey Forest (13).jpg	en|monkey
-1	qid:1182	1:0	2:0	3:9.323732	4:0	5:0	6:10.31103	7:16.173897	8:0	# 100 N Franklin Street Mobile July 2017.jpg	en|monkey
0	qid:1183	1:0	2:15.817089	3:18.404636	4:0	5:19.065456	6:20.829847	7:0	8:0	# Chateau de Montespan 3.jpg	ceb|Montespan
1	qid:1183	1:0	2:14.939589	3:15.81998	4:0	5:0	6:18.32071	7:0	8:0	# Ruines du château de Montespan.jpg	ceb|Montespan
0	qid:1183	1:0	2:16.570778	3:17.60246	4:0	5:20.002619	6:20.448694	7:0	8:0	# Chateau de Montespan 2.jpg	ceb|Montespan
1	qid:1184	1:0	2:0	3:32.76881	4:0	5:0	6:37.18851	7:0	8:0	# Map commune FR insee code 76449.png	ceb|Montreuil-en-Caux
-1	qid:1185	1:0	2:6.8200192	3:3.6316278	4:7.10417	5:11.176332	6:8.882873	7:0	8:10.656313	# The sun and the moon in South New Brighton's beach, New Zealand.jpg	en|moon
-1	qid:1185	1:0	2:12.397263	3:10.084604	4:0	5:14.573864	6:12.85632	7:0	8:0	# Moon-Earth distance, Moon phases.gif	en|moon
1	qid:1185	1:0	2:9.3157	3:10.056013	4:0	5:11.649777	6:13.647822	7:0	8:0	# Chris Darling - Moon mosaic (by).jpg	en|moon
1	qid:1185	1:0	2:12.270567	3:10.68422	4:0	5:11.977127	6:10.940511	7:0	8:0	# Logroño moon waxing crescent moon.jpg	en|moon
-1	qid:1185	1:0	2:0	3:0	4:11.079763	5:9.399121	6:0	7:0	8:0	# Makra peak in harsh light mid noon in the region of Shogran Pakistan.jpg	en|moon
1	qid:1185	1:0	2:0	3:0	4:0	5:0	6:0	7:6.3091354	8:0	# Dülmen, Hausdülmen, Mondaufgang -- 2016 -- 4088.jpg	en|moon
1	qid:1185	1:8.431306	2:8.468137	3:13.347935	4:0	5:11.140666	6:9.579985	7:7.6563463	8:0	# Back side of the Moon AS16-3021.jpg	en|moon
-1	qid:1185	1:0	2:0	3:0	4:0	5:0	6:5.97873	7:14.895256	8:0	# Moldy Bread.jpg	en|moon
0	qid:1185	1:0	2:11.172298	3:0	4:0	5:13.8285	6:9.454426	7:0	8:0	# The moon above the "three maria" Moon valley.jpg	en|moon
0	qid:1185	1:0	2:0	3:13.598593	4:0	5:0	6:0	7:0	8:0	# Luna llena saliendo del horizonte, Aguascalientes 21.JPG	en|moon
1	qid:1186	1:0	2:21.504944	3:0	4:0	5:14.1885195	6:18.832623	7:0	8:0	# Stork moral education.jpg	en|moral education
1	qid:1186	1:0	2:19.322372	3:0	4:0	5:27.483833	6:18.32021	7:0	8:0	# Moral education by Abbasgulu Bakikhanov.png	en|moral education
0	qid:1186	1:0	2:7.39751	3:20.380968	4:0	5:9.903457	6:8.322076	7:0	8:0	# Hk protest against implementation of national education 7.jpg	en|moral education
-1	qid:1186	1:0	2:14.560438	3:0	4:0	5:21.12701	6:22.094025	7:17.400291	8:0	# Garden of Ramakrishna Institute of Moral and Spiritual Education, Mysore, India.JPG	en|moral education
-1	qid:1186	1:0	2:15.818878	3:0	4:0	5:25.29131	6:18.81044	7:0	8:0	# Home Company religious and moral education 1899-1902 - panoramio.jpg	en|moral education
-1	qid:1186	1:0	2:0	3:14.009408	4:0	5:0	6:0	7:0	8:0	# Bodleian Libraries, Little dickey birds- or, The wrong and the right.jpg	en|moral education
-1	qid:1187	1:0	2:16.352026	3:7.2099705	4:0	5:0	6:7.1704383	7:0	8:0	# Only one waltz more (NYPL Hades-1932219-1995134).jpg	cs|More_Than_Only
-1	qid:1187	1:0	2:16.313381	3:7.1699514	4:0	5:0	6:7.195279	7:0	8:0	# Only one waltz more (NYPL Hades-1932219-1995132).jpg	cs|More_Than_Only
